trade_date,portfolio_value,benchmark_value,cash,equity,position,n_holdings
2022-10-28,838209.9545113945,720109.4977021372,173550.4768179456,664659.4776934489,0.8,10
2022-10-31,829423.5407407844,713475.1632006513,173550.4768179456,655873.0639228388,0.8,10
2022-11-01,828760.001908192,738988.7435254384,165221.16931556433,663538.8325926276,0.8,10
2022-11-02,829927.7345033933,747861.0457477504,165221.16931556433,664706.565187829,0.8,10
2022-11-03,825945.8767222447,741779.3199687671,165221.16931556433,660724.7074066803,0.8,10
2022-11-04,837724.2763457771,766033.8324807814,165221.16931556433,672503.1070302128,0.8,10
2022-11-07,843199.5182904769,767685.49731318,165221.16931556433,677978.3489749125,0.8,10
2022-11-08,839950.2333389417,762404.2367373653,165221.16931556433,674729.0640233774,0.8,10
2022-11-09,841678.4605408303,755276.060042963,165221.16931556433,676457.291225266,0.8,10
2022-11-10,840365.6813139174,749464.0909357753,165221.16931556433,675144.5119983531,0.8,10
2022-11-11,857563.1208244014,770357.7679886431,165221.16931556433,692341.951508837,0.8,10
2022-11-14,866984.6363359672,771492.1043507302,165221.16931556433,701763.4670204029,0.8,10
2022-11-15,874072.4221775897,786123.8518235101,165221.16931556433,708851.2528620254,0.8,10
2022-11-16,870418.5843554318,779701.6868617134,165221.16931556433,705197.4150398675,0.8,10
2022-11-17,868189.274370176,776503.9132713389,165221.16931556433,702968.1050546117,0.8,10
2022-11-18,863474.4972504902,773027.6595347078,165221.16931556433,698253.3279349259,0.8,10
2022-11-21,857439.984809409,766430.821739297,165221.16931556433,692218.8154938447,0.8,10
2022-11-22,861817.1653306872,766521.4726697104,165221.16931556433,696595.9960151229,0.8,10
2022-11-23,863676.8482439419,767325.9030885431,165221.16931556433,698455.6789283776,0.8,10
2022-11-24,862499.0686197446,763925.8831648594,165221.16931556433,697277.8993041803,0.8,10
2022-11-25,869733.6708538,767782.9602807601,165221.16931556433,704512.5015382357,0.8,10
2022-11-28,860599.3843688872,759133.9098675571,165221.16931556433,695378.2150533228,0.8,10
2022-11-29,881217.8970490015,782555.1170569282,165221.16931556433,715996.7277334372,0.8,10
2022-11-30,877543.701596824,783493.3684208151,165221.16931556433,712322.5322812597,0.8,10
2022-12-01,876841.6666355466,791979.3772996853,174806.70535808714,702034.9612774594,0.8,10
2022-12-02,871754.4285069357,787135.5308477206,174806.70535808714,696947.7231488486,0.8,10
2022-12-05,893626.7870520314,802575.0842562575,174806.70535808714,718820.0816939443,0.8,10
2022-12-06,893748.8866302657,806910.7934044758,174806.70535808714,718942.1812721787,0.8,10
2022-12-07,890123.3336425121,804926.7621616672,174806.70535808714,715316.628284425,0.8,10
2022-12-08,893380.7764830205,805077.0133336782,174806.70535808714,718574.0711249333,0.8,10
2022-12-09,905213.8706956701,813020.540040819,174806.70535808714,730407.1653375829,0.8,10
2022-12-12,892913.5449996393,803910.5282230529,174806.70535808714,718106.8396415521,0.8,10
2022-12-13,896187.4029118577,802332.1690443422,174806.70535808714,721380.6975537705,0.8,10
2022-12-14,901659.7690880799,804203.8321755615,174806.70535808714,726853.0637299928,0.8,10
2022-12-15,892581.8166729046,803614.7028000705,174806.70535808714,717775.1113148174,0.8,10
2022-12-16,898927.3173860004,804069.8892238716,174806.70535808714,724120.6120279132,0.8,10
2022-12-19,888027.3643838323,791664.6001792725,174806.70535808714,713220.6590257452,0.8,10
2022-12-20,875755.9097338584,778609.1987757122,174806.70535808714,700949.2043757713,0.8,10
